Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI limit,Upper CI limit,Count,Denominator,Value note
E07000052,West Dorset,LA,Persons,60-74 yrs,,,2016,65.1884501214356,64.5597135834679,65.8119392251324,14494,22234,
E07000053,Weymouth and Portland,LA,Persons,60-74 yrs,,,2016,64.4491792929293,63.6115046055905,65.2780962299559,8167,12672,
E07000061,Eastbourne,LA,Persons,60-74 yrs,,,2016,57.4567915899507,56.7083786704085,58.201802665482,9674,16837,
E07000062,Hastings,LA,Persons,60-74 yrs,,,2016,53.8483245149912,53.0267265037233,54.6678372811146,7633,14175,
E07000063,Lewes,LA,Persons,60-74 yrs,,,2016,61.4236320728829,60.7145045659076,62.127943800002,11192,18221,
E07000064,Rother,LA,Persons,60-74 yrs,,,2016,62.3306912812281,61.655716023959,63.0009149867421,12425,19934,
E07000065,Wealden,LA,Persons,60-74 yrs,,,2016,63.1408436591964,62.5927499114622,63.6855658739836,18905,29941,
E07000066,Basildon,LA,Persons,60-74 yrs,,,2016,56.4592164164323,55.8466431950276,57.0698240205602,14252,25243,
E07000067,Braintree,LA,Persons,60-74 yrs,,,2016,59.9181745328778,59.2928174994909,60.5403180956977,14206,23709,
E07000068,Brentwood,LA,Persons,60-74 yrs,,,2016,60.8192263836506,59.919672954125,61.711491397502,6934,11401,
E07000069,Castle Point,LA,Persons,60-74 yrs,,,2016,59.4605908384165,58.7143557526517,60.2024802570033,9943,16722,
E07000070,Chelmsford,LA,Persons,60-74 yrs,,,2016,61.5275478836604,60.9272089873155,62.1243969165692,15612,25374,
E07000071,Colchester,LA,Persons,60-74 yrs,,,2016,60.668390534399,60.0675535549941,61.2660167305509,15485,25524,
E07000072,Epping Forest,LA,Persons,60-74 yrs,,,2016,56.7404225563159,56.0529278908129,57.4253311283672,11360,20021,
E07000073,Harlow,LA,Persons,60-74 yrs,,,2016,52.7817268505355,51.8283145661613,53.7331143031416,5569,10551,
E07000074,Maldon,LA,Persons,60-74 yrs,,,2016,62.1320472309995,61.2613784850488,62.9949677850878,7472,12026,
E07000075,Rochford,LA,Persons,60-74 yrs,,,2016,62.1106430002072,61.317359199742,62.8975022966813,8993,14479,
E07000076,Tendring,LA,Persons,60-74 yrs,,,2016,57.4289753601723,56.865794560038,57.9902351684379,17061,29708,
E07000077,Uttlesford,LA,Persons,60-74 yrs,,,2016,62.7783589896876,61.9557890869704,63.5935946444973,8401,13382,
E07000078,Cheltenham,LA,Persons,60-74 yrs,,,2016,62.4246566830299,61.673503596812,63.1698795614947,10046,16093,
E07000079,Cotswold,LA,Persons,60-74 yrs,,,2016,63.7120470127326,62.9715639091735,64.4460827754066,10408,16336,
E07000080,Forest of Dean,LA,Persons,60-74 yrs,,,2016,63.3898305084746,62.6454891211509,64.1278329981456,10285,16225,
E07000081,Gloucester,LA,Persons,60-74 yrs,,,2016,60.1475136807043,59.4052027941688,60.8851883132607,10112,16812,
E07000082,Stroud,LA,Persons,60-74 yrs,,,2016,65.9518452922311,65.3063826926166,66.5914424865565,13778,20891,
E07000083,Tewkesbury,LA,Persons,60-74 yrs,,,2016,65.6167266309144,64.8457135315941,66.379596987412,9666,14731,
E07000084,Basingstoke and Deane,LA,Persons,60-74 yrs,,,2016,61.3565828160732,60.7449732858591,61.9646298664872,15025,24488,
